hid,type1,type2,month,m_id,q6_1,q6_1_1,q6_1_2,q6_1_3,q6_1_4,q6_1_5,q6_1_6,q6_1_7,q6_1_8,q6_2_a,q6_2_b,q6_2_c,q6_3,q6_4_1,q6_4_2,q6_4_3,q6_4_4,q6_4_5,q6_4_6,q6_4_7,q6_4_8,q6_4_9,q6_4_10,q6_4_11,q6_4_12,q6_4_13,q6_4_1a,q6_4_2a,q6_4_3a,q6_4_4a,q6_4_5a,q6_4_6a,q6_4_7a,q6_4_8a,q6_4_9a,q6_4_10a,q6_4_11a,q6_4_12a,q6_4_13a,q6_5_1,q6_5_2,q6_5_3,q6_5_4,q6_5_5,q6_5_6,q6_5_7,q6_5_8,q6_5_9,q6_5_10,q6_5_11,q6_5_12,q6_5_13,q6_5_14,q6_5_15,q6_5_16,q6_5_17,q6_5_18,q6_5_19,q6_5_20,q6_5_21,q6_6,q6_7,q6_8,q11_b_1_1,q11_b_1_1a,q11_b_1_2,q11_b_1_2a,q11_b_1_3,q11_b_1_3a,q11_b_2_1,q11_b_2_1a,q11_b_2_2,q11_b_2_2a,q11_b_2_3,q11_b_2_3a,q11_b_3_1,q11_b_3_1a,q11_b_3_2,q11_b_3_2a,q11_b_3_3,q11_b_3_3a,q11_b_4_1,q11_b_4_1a,q11_b_4_2,q11_b_4_2a,q11_b_4_3,q11_b_4_3a,q11_b_5_1,q11_b_5_1a,q11_b_5_2,q11_b_5_2a,q11_b_5_3,q11_b_5_3a,q11_b_6_1,q11_b_6_1a,q11_b_6_2,q11_b_6_2a,q11_b_6_3,q11_b_6_3a,q11_b_7_1,q11_b_7_1a,q11_b_7_2,q11_b_7_2a,q11_b_7_3,q11_b_7_3a,q11_b_8_1,q11_b_8_1a,q11_b_8_2,q11_b_8_2a,q11_b_8_3,q11_b_8_3a,q11_b_9_1,q11_b_9_1a,q11_b_9_2,q11_b_9_2a,q11_b_9_3,q11_b_9_3a,wt
10001,1,2,8,120922,932,350,,,,,,,,2,5,11,1,,,3,,,,,,,,,,,,,3,,,,,,,,,,,1,2,3,,5,,,,,,,,,,,,,,,,,4,5,4,,,,,,,30000,,,,,,,,,,,,200000,,,,,,70000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4401.533668
10001,1,1,5,102329,911,250,,,,,,,,1,2,3,1,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,2,,,5,,,,,,,,,,,,,,,,,4,4,4,0,,0,,0,,0,,0,,0,,0,,0,,0,,40000,31,0,,0,,40000,31,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4401.533668
10001,1,1,6,102331,931,210,,,,,,,,2,5,7,1,1,,,,,,,,,,,,,0,,,,,,,,,,,,,1,2,,,5,,,,9,,,,,,,,,,,,,4,4,4,0,,0,,0,,0,,0,,0,,0,,0,,0,,100000,31,0,,0,,100000,31,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4401.533668
10001,1,2,9,102322,911,140,,,,,,,,2,3,13,1,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,2,,,5,,,,,,,,,,,,,,,20,,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4401.533668
10001,1,1,3,102327,931,110,,,,,,,,1,2,3,1,1,,,,,,,,,,,,,0,,,,,,,,,,,,,1,2,,,5,,,,,,,,,,,,,,,,,4,4,4,0,,0,,0,,0,,0,,0,,0,,0,,0,,50000,31,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4401.533668
10001,1,2,9,102324,931,050,,,,,,,,1,2,4,1,1,,,,,,,,,,,,,0,,,,,,,,,,,,,1,2,,,5,,,,,,,,,,,,,,,,,4,4,4,0,,0,,0,,0,,0,,0,,0,,0,,0,,70000,31,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4401.533668
10001,1,2,12,120924,932,030,,,,,,,,1,2,5,1,,,,,,6,,,,,,,,,,,,,1,,,,,,,,1,2,3,,,,,,,,,,,,,,,,,,,4,5,4,,,,,,,40000,,,,,,50000,,,,,,60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4401.533668
10002,1,1,4,110304,931,100,,,,,,,,2,1,4,1,1,,,,,,,,,,,,,0,,,,,,,,,,,,,1,2,,,5,,,,,,,,,,,,,,,,,3,3,3,,,,,,,,,,,,,20000,31,,,,,250000,31,,,,,70000,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7738.02948
10003,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8310.061005
10004,1,2,7,121004,932,030,060,,,,,,,1,7,2,1,,2,,,,,,,,,,,,,1,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,4,4,4,,,,,,,320000,,,,,,150000,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,,30000,,,,,,,,,,,,7738.02948
10004,1,1,4,110097,938,390,,,,,,,,7,12,1,6,,,,,,,,,,10,,,,,,,,,,,,,1,,,,1,,,,,6,,,,,,,,,,,17,,,,,4,4,4,,,,,,,10000,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000,31,,,,,,,,,,,,,,,,,7738.02948
10004,1,2,11,121006,937,390,,,,,,,,7,1,5,7,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7738.02948
10004,1,2,10,600405,935,380,,,,,,,,1,2,9,1,1,,,,,,,,,,,,,0,,,,,,,,,,,,,1,2,,,,6,,,,,,,,,,,,,,,,4,4,4,0,,0,,0,,0,,0,,0,,10501,31,0,,0,,28999,31,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7738.02948
