번호,업종,업소명,연락처,주소
171,한식_일반,아구가9900,02-804-6401,경기도 광명시 광명시 하안로 287번길 7(하안동)
170,한식_일반,광명소고기순대국,02-2066-0607,경기도 광명시 광명시 시청로 33-1(철산동)
169,한식_일반,삼미감자탕,02-2686-9063,"경기도 광명시 광명시 광명로 831번길 5, 2층(광명동)"
168,한식_일반,남도식당,031-795-4049,경기도 하남시 경기도 하남시 신평로 69
167,한식_일반,갑수네칼국수,031-414-6000,경기도 안산시 상록구 경기도 안산시 상록구 월피동 안산천동로4길 2
166,한식_일반,도깨비왕감자탕,031-419-0487,경기도 안산시 상록구 경기도 안산시 상록구 이동 715-7. 1층
165,한식_일반,콩순이칼국수,031-944-9788,경기도  파주시 송화로 11 팜스프링지하상가 17호
164,한식_일반,아리몽,957-7100,경기도  파주시 금릉역로 190
163,한식_일반,송주불냉면,031-468-9298,경기도 안양시 만안구 안양로257번길 14
162,한식_일반,참풍년집정육식당,031-464-9898,경기도 안양시 만안구 안양로 358
161,한식_일반,뚝섬일호갈비,031-442-9598,경기도 안양시 만안구 전파로 24
160,한식_일반,유천푸드,031-466-0696,경기도 안양시 만안구 전파로 30
159,한식_일반,한일숯불갈비,031-469-5730,경기도 안양시 만안구 박달로 416
158,한식_일반,빛나리양념갈비,031-471-9371,경기도 안양시 만안구 안양로 462-1
157,한식_일반,송주불냉면,031-468-9298,경기도  안양로257번길 14
156,한식_일반,국수와 보리밥,031-969-7493,경기도 고양시 덕양구 고양대로1369번길 57
155,한식_일반,미락식당,010-3132-4033,경기도 고양시 덕양구 지도로35번길 77
154,한식_일반,국수마루,031-969-3371,경기도 고양시 덕양구 마상로114번길 22
153,한식_일반,처갓집 밥상,031-903-1981,"경기도 고양시 일산동구 중앙로1261번길 19, 2층(장항동, 라고프라자)"
152,한식_일반,고가네식당,031-911-4334,"경기도 고양시 일산서구 중앙로 1470, 2061호"
151,한식_일반,전주콩나물국밥,031-534-6999,경기도 포천시 경기도 포천시 중앙로119번길 15-3(신읍동)
150,한식_일반,은혜식당,031-532-1623,경기도 포천시 경기도 포천시 내촌면 내촌로 80
149,한식_일반,홍천강다슬기,031-511-2582,경기도 남양주시 경춘로992번길 6-1
148,한식_일반,강남식당,031-591-7848,"경기도 남양주시 홍유릉로248번길 64-37, 101호"
147,한식_일반,명성막고기,031-595-9115,"경기도 남양주시 홍유릉로248번길 39,121호"
146,한식_일반,토담,031-851-1400,경기도 의정부시 둔야로45번길 51
